date,videoId,authorId,username,videoLink,contentDescription,hashtags,musicAuthorName,musicTitle,musicId,captions,code_1,fieldNote_1,code_2,fieldNote_2,code_3,fieldNote_3,code_4,fieldNote_4,code_5,fieldNote_5,category,need,fieldnote_need
2023-09-07,7276103514001198341,7100582449735025669,lost.but.alive,https://www.tiktok.com/@7100582449735025669/video/7276103514001198341,"A photo log featuring images of a yacht in the sea and a sunset in Bali, accompanied by the soundtrack ""I think about leaving sometimes,"" evokes a serene and contemplative mood. The combination of visuals and music captures the beauty and tranquility of the maritime and tropical setting, while the soundtrack adds a layer of introspection, reflecting on themes of wanderlust and the allure of distant horizons.",#komodoisland #padarisland #bali #balisunset #explore #traveltiktok #digitalnomad #escape9to5,bright martins,original sound,6709413378747533314,"['Anywhere '], ['Komodo sunset >>>']",JN-TE,"The content portrays a transformative journey through the combination of contemplative music and serene visuals, suggesting a deeper meaning beyond typical travel experiences.",ET-SD,"The introspective soundtrack ""I think about leaving sometimes"" paired with the natural imagery indicates themes of self-discovery and personal reflection",DR-VS,"The creator effectively uses visual elements like yacht imagery and sunset scenes, combined with music to craft a compelling narrative without word",ET-SG,"The peaceful sunset scenes and choice of location (Bali, known for spiritual tourism) suggest themes of spiritual connection and inner growth",JN-PG,"The hashtags (#escape9to5, #digitalnomad) combined with the contemplative mood indicate a journey of personal development and lifestyle transformation",Tourist,Self-actualization,"This content transcends basic tourist experiences and speaks to deeper personal growth through travel. The combination of contemplative music, dramatic natural settings, and hashtags like #digitalnomad and #escape9to5 suggests the creator is documenting not just a vacation, but a transformative journey. The content portrays travel as a means of achieving life goals and personal enlightenment, which directly aligns with the Tourist category's self-actualization level - ""Personal growth through travel."""
2023-09-03,7274454172173372715,278799552956993536,thisisjessicarose,https://www.tiktok.com/@278799552956993536/video/7274454172173372715,"An African-American woman dances in front of the camera on her way somewhere with a carry-on and her daughter standing behind her. She expresses happiness about moving out of the US and living on her earnings from social media, offering to share her know-how through links in her bio.",#shereallyhadababy #digitalnomad #worldschool #singlemama,310babii,soak city (do it),7092355069982690053,"['when you sold everything you own to move you and your baby out of the country ✈️, '& you have the freedom to do it because of\n social media 💻', 'read caption for more ⬇️'], ['Airport Dance 💃🏽']",DR-IE,Presenting an aspirational lifestyle of freedom and mobility,ET-IC,Redefining identity as a digital nomad single mother,TA-DI,"The dance element suggests a focus on visual content, and also one of the central trends of the TikTok ecosphere.",JN-PG,The decision to make a significan life change aligns with the need of personal growth,,,Migrant,Self-actualization,"Lifestyle change enabled by remote income, the woman mentions ""freedom to do it because of social media,"" indicating that her income is derived from social media work"
2023-09-04,7274781457652927750,6718198892586189829,octaviusra,https://www.tiktok.com/@6718198892586189829/video/7274781457652927750,"An American vlogger interviews a woman regarding her accommodation expenses in Bali, where she spends $150 per day to reside in a boutique condominium. This accommodation features a private pool and overlooks a rice paddy, offering a unique blend of luxury and cultural immersion. This interaction highlights the diverse range of living options available in Bali, catering to varying budgets and preferences for travelers and expatriates seeking distinctive experiences on the island.",#bali #balirealestate #realestate #fun #reels #octaviusra #hometour #travel #remotework #digitalnomad,octavius ra,original sound,7288709893064805163,,CA-TC,"Evidenced through explicit discussion of accommodation costs and
focus on boutique condominium features and luxury amenities
Emphasis on commercial aspects of travel accommodation",DR-CA,Demonstrated through the authentic setting overlooking rice paddies and integration of luxury accommodation with local cultural elements.,DR-VS,"Content delivered through visual medium (vlog format)
Descriptive presentation of the accommodation's visual features with the emphasis on the scenic view and property attributes",DR-PSC,Content specifically formatted for vlog presentation,,,Tourist,Basic,"Despite the luxury aspects and cultural elements, this content fundamentally addresses the basic need of accommodation in the Tourist category. The primary purpose of the video is to showcase and inform about housing options, which is a basic necessity for anyone staying in Bali, regardless of the luxury level. The cultural and aesthetic elements, while present, are secondary to the main message about securing accommodation."
2023-09-08,7276271915856071941,7275559135620367365,namwaandigitalnomad,https://www.tiktok.com/@7275559135620367365/video/7276271915856071941,"A Thai female vlogger shares that she generates additional income by managing Excel Sheets and marketing her services on online platforms. Her clientele primarily consists of parents and occasionally teachers, highlighting a niche demand for her expertise in spreadsheet administration and customization to meet specific educational or organizational needs. This entrepreneurial approach showcases the potential for leveraging specialized skills in digital environments to reach a diverse customer base.





",#NamwaanDigitalNomad #digitalnomad #wokfromanywhere,Mitsu Sound,Very cute melody by marimba tone(39813),7286797987190803205,,CA-PC,"Active marketing of professional services
Strategic promotion of Excel expertise
Targeted advertising to specific demographics",DR-PSC,"Demonstrates specialized Excel services marketing
Shows adaptation to online service delivery platforms",TA-DI,Enhance visibility through the hashtags,ET-IC,"Construction of digital nomad professional identity
Development of specialized service provider persona and building professional credibility in digital space",,,Worker,Basic,"The content most strongly aligns with Basic needs because it fundamentally addresses how she secures her income through digital means, which is the foundation of digital nomad work life. The focus on practical income generation through specific skills rather than higher-level needs like professional growth or work-life balance makes this clearly a Basic needs example"
2023-09-14,7278658174872259886,6906208597803598854,livedifferently_coaching,https://www.tiktok.com/@6906208597803598854/video/7278658174872259886,"A male vlogger in an RV shares that persuading his spouse of his competence, rather than being perceived as an idiot, stands as his paramount accomplishment as a husband.",#rvliving #rvfulltime #rvfulltimeliving #rvlifewithkids #rvlivingwithkids #travelmore #travelblogger #digitalnomad #happinessisachoice #travelusa #travelmexico #travelbaja,PARTYNEXTDOOR,Her Way (Sped Up),7263788553225358126,,ET-IC,"The vlogger's focus on proving his competence as a husband while maintaining a nomadic lifestyle represents a clear example of identity construction, as he negotiates his role and self-image within his relationship context.",JN-PG,The content demonstrates personal growth through the vlogger's journey of establishing credibility and competence in his relationship while managing the challenges of RV living,ET-PM,"The vlogger's emphasis on this achievement as his ""paramount accomplishment"" suggests a deeper search for purpose and meaning in his role as a husband within the nomadic lifestyle context.",,,,,Tourist,Esteem,
2023-06-19,7246219381431160069,7153150348458574853,clabstream,https://www.tiktok.com/@7153150348458574853/video/7246219381431160069,"A man, initially disengaged while working at his laptop, becomes animated and engages someone off-screen, lip-syncing enthusiastically to the phrase ""guys, listen listen"" in tune with the background music. This shift captures a moment of levity and connection, contrasting the monotony of his prior activity with a spontaneous burst of energy and interaction, highlighting the dynamic nature of remote work environments.",#agencylife #anakagency #fyp #forupage #digitalnomad #influenceragency #agencywork #creativeagency #agencyculture #agencyfun #agencyteam #digitalmarketingagency #agencytok #clabstream #clabstreamindonesia,Clabstream,suara asli - Clabstream,6928470186467018753,"['SOSIAL BATERFLY 100% DIKANTOR', 'PAS BANYAK KERJAAN'], ['FASE KARYAWAN SOSIAL BATERFLY DIKANTOR']",DR-PSC,"The lip-synking with the song is a TikTok platform-specific affordance, which is used to engage with the audience on a emotional level.",ET-IS,"The creator demonstrates that affordances in a digital age is often disrupted by other mediums like sounds, but also creates joy and necessary relaxation for the creative work. ",TA-DI,Strategic use of hashtags like #FYP demonstrates the effort to make the content visibile,,,,,Worker,Social,The content caters for the Social and self-actualising needs of Worker
2023-09-16,7279326684845772064,7061989518903280646,fannasimo,https://www.tiktok.com/@7061989518903280646/video/7279326684845772064,"A female vlogger conducts a tour of her van, demonstrating its adaptation for a mobile lifestyle. Her presentation focuses on the van's design and features that facilitate nomadic living, illustrating how the space has been optimized for both travel and habitation, emphasizing efficiency and practicality in mobile living arrangements.",#vanlife #vanlifehungary #digitalnomad #digitalnomadlife #digitalnomadgirl #van #vanlifetravel #travel #hungary #magyartiktok,Fanna,original sound,7140079912135740206,[Vettem egy lakoautot],JN-EP,This code applies as the video documents a significant milestone in the creator's journey - the acquisition and setup of a van for nomadic living. The tour format shows the progression of transforming a vehicle into a living space.,DR-VS,"The creator employs visual narrative techniques through a comprehensive van tour, using the visual medium to demonstrate the practical aspects and lifestyle implications of van living.",LC-PF,"The entire premise of the van tour emphasizes the freedom and independence gained through mobile living, showcasing how the space enables personal autonomy and unrestricted movement.",ET-IC,"The presentation reflects the creator's construction of a digital nomad identity, specifically as a Hungarian female van-lifer, demonstrated through the careful curation and presentation of their living space.",,,Tourist,Basic,"While the content might tangentially touch on other categories (such as Worker - Safety through stable work environment or Tourist - Safety through safe travel), the primary focus is clearly on demonstrating how basic accommodation needs are met through van life, making it most aligned with the Tourist - Basic category in the framework."
2023-10-06,7286911646612737322,6672574899397559301,suitelifeoflauren,https://www.tiktok.com/@6672574899397559301/video/7286911646612737322,"A female creator records herself consuming Belgian waffles, citing this indulgence as her motivation for embarking on a journey as a solo traveling digital nomad across Europe.",#solofemaletraveler #daytripsfromparis #digitalnomad #digitalnomadeurope #solotravelingeurope #solotravelingwoman #travelinyour20s #brusselsbelgium #belgiumwaffle,rapidsongs,Cannibal by Kesha,7271396103960922922,['when I remember I’m living in Europe and can take a train to another country just to get a waffle '],HE-CE,"This code is the most relevant as the content explicitly revolves around the creator's desire to consume Belgian waffles, highlighting the importance of food experiences in her travel motivation.
",DR-VS,"The creator uses visual elements to narrate her experience, recording herself consuming waffles and showcasing the allure of cross-border travel for food, which aligns with the visual storytelling aspect of digital representation.",TA-DI,"The extensive use of hashtags such as #solofemaletraveler, #digitalnomad, and #solotravelingeurope demonstrates the creator's intention to make her content discoverable to a wider audience interested in similar themes.",ET-SD,"The content subtly touches on the theme of self-discovery as the creator explores her newfound freedom and ability to travel spontaneously across Europe, which can be seen as part of a broader journey of personal exploration.",,,Tourist,Basic,"While the hashtags suggest broader themes of digital nomad lifestyle and solo female travel, the actual content centers on the fundamental tourist experience of seeking out and enjoying local cuisine, making the Tourist-Basic need the most prominent category in this cont"
2023-10-19,7291731764043730209,6936580544813777926,wakawakadoctor,https://www.tiktok.com/@6936580544813777926/video/7291731764043730209,"A male vlogger discusses various strategies for relocating to Australia, advocating for Australia over Canada as a destination for permanent immigration. Throughout the video, he focuses on providing insights and advice for those considering Australia as their new home, emphasizing the benefits and procedures associated with achieving permanent residency in the country.",#wakawakadoctor #travelcreator #digitalcreator #travelagent #digitalnomad #studyabroadtips,Wakawaka Doctor,original sound,7247966890844637186,,JN-EP, The vlogger presents immigration as a step-by-step journey,DR-PSC,Formated with subtitles for the TikTok engagement,ET-IC,Content focuses on transitioning to a new national identity,,,,,Migrant,Safety,"The content prioritizes legal and procedural aspects of immigration, focusing on secure and legitimate pathways to permanent residency. The use of hashtags like #studyabroadtips and #travelagent, combined with the comparative analysis of immigration destinations, indicates a strong emphasis on helping viewers understand and navigate legal systems and establish secure residence status."
2023-11-01,7296462810341575942,6930428823020454913,coffee.and.notions,https://www.tiktok.com/@6930428823020454913/video/7296462810341575942,"Vlog showcasting extra portable screen for a laptop, a suitable for college students and digital nomads who do not want be tied down in the office. ",#portablemonitor #giftideas #collegelife #studygram #homeoffice #gamingmonitor #monitor #dualmonitor #pcsetup #laptopsetup #gamingsetup #wfhlife #workfromanywhere #digitalnomad #studytok,ヘクとパスカル,fish in the pool・花屋敷,7266198210341800750,,CA-PC,"The content clearly falls under Promotional Content, as it showcases a specific product while highlighting its features and benefits for digital nomads and students.",TA-DI,"The extensive use of strategic hashtags demonstrates strong Discoverability elements, utilizing TikTok's algorithm-driven content distribution system.
",ET-IC,The vlog contributes to Identity Construction by reinforcing the digital nomad lifestyle and student identity through technology adoption.,,,,,Worker,Basic,"While there are elements of Safety needs (stable work environment through proper equipment), the primary focus remains on the basic infrastructure needed for digital work. The video's hashtags (#workfromanywhere, #digitalnomad) and focus on portability reinforce this classification by emphasizing the fundamental need for maintaining work capability while mobile."
2023-11-04,7297559291437829408,81182626912346112,nicoviajasolo,https://www.tiktok.com/@81182626912346112/video/7297559291437829408,"Vlog about with flahsing photos with guidance in Spanish on essential equipment and mobile applications for prolonged nomadic travel. The authors covers type of jobs that could be performed on the move and mentiones platforms for working at cruises, seasonal jobs and teaching Spanish online. The male creators tips are - staying i hostels, voluntee at Worldpackers, fill the backpack at 80%, don't book everything in advance - it will leave you the space for the improvisaton, have a spare card in case you get ripped off, ravel low season and use VPN to book the fligts.",#traveltips #trucosdeviaje #viajarbarato #vivirviajando #mochileros #digitalnomad #viajagratis,<3,the world is not in your books and maps,7229752588227758875,,ET-SD,"The content guides viewers toward independent travel experiences and self-reliant decision-making, especially through practical tips about financial management and accommodation choices.",DR-VS,The vlog format with flashing photos demonstrates a clear visual narrative structure to convey information effectively.,LC-PF,"The creator emphasizes flexibility in travel planning and the freedom to improvise, particularly through advice about partial booking and backpack management.",DR-PSC,"The content is specifically crafted for TikTok's format, utilizing hashtags and visual guidance to convey practical travel information",,,Worker,Basic,"This content primarily addresses Worker - Basic needs, as it focuses on fundamental aspects of maintaining income and connectivity while traveling. The emphasis on job platforms, teaching opportunities, and practical tools like VPN directly supports the basic requirements for sustaining a nomadic lifestyle through remote work."
2023-12-04,7308661935162035463,282843165722599424,techfren,https://www.tiktok.com/@282843165722599424/video/7308661935162035463,"The male vlogger presents a screen-sharing session to guide viewers through the application process for an AI engineer role with a salary of $400,000. Throughout the demonstration, he humorously comments on the occasionally unrealistic job requirements and critiques the platform's persuasive tactics, like notifications stating ""you are now top 5 of the candidates."" The video concludes abruptly, leaving the discussion on these observations unexpectedly unfinished, sounds like his camera went off power.





",#softwareengineer #computerscience #aiengineer #chatgpt #jobsearch #interview #codingchallenge #javascript #database #remotejob #digitalnomad #siliconvalley #openai,techfren,original sound,7257993148444511018,"[This one is advertised at 400K, which is ridiculous], [and then there was a skill assesment whic is two hours, the first bit][This was like, this is like an IQ test kind] [So it was actually kind of hard, but we passed it] [The next one was like an English speaking on this], [But now there is like a complex problem solving in code], [Nice work getting this far, you are already in a top 5%] [Oh Shit, you hear that? I am top 5%] [I don't know how legit that is], [your task is to implement a simplified in-memory database]",DR-PSC,"The screen-sharing format and commentary are tailored specifically to TikTok's short-form video style, demonstrating how professional content can be adapted to the platform.",ET-PM,"The video explores the broader context of job searching powered by platforms such as Crossover, Udemy etc, touching on the meaningless requirements practices in tech.",TA-RL,The humorous commentary and critique of job requirements create a relatable narrative that likely resonates with other tech professionals and job seekers.,,,,,Worker,Esteem,"The content exemplifies the recruitment platform experience by professional skill demonstration, platform-specific storytelling, and personal career narrative."
2023-11-05,7297939010708688133,6965129344512148482,designeralyl,https://www.tiktok.com/@6965129344512148482/video/7297939010708688133,"Flashing photographs capture a graduating Asian woman, accompanied by a statement underscoring the unmatched value of a degree in technology. She posits that academic metrics such as GPA or one's specific field of study hold minimal significance in todays fast paced professional world and the best time investement is to build a career in tech.",#joiningthetrend #womenintech #digitalnomad #fyp,𝘿𝙞𝙢𝙚𝙣𝙨𝙞𝙑𝙞𝙗𝙚𝙨🎧,favorite lesson,7265018696001768235,,DR-VS,The content leverages visual storytelling through graduation photographs to convey its message about technology careers.,ET-IC,"The content strongly emphasizes identity construction, particularly in the context of becoming a technology professional and establishing oneself in the tech industry.",JN-PG,The narrative focuses on the contracts between desired cool remote job as Web designer in the co-working and a reality of a dull office space and late hours.,,,,,Worker,Esteem,"The message promotes career growth and professional development in tech, suggesting that practical skills and industry presence are more valuable than traditional academic measures. The use of hashtags like #womenintech and #digitalnomad, combined with the graduation imagery, frames this as an aspirational career development message rather than just basic job seeking or safety needs."
2023-11-10,7299840650214657286,7272304374130279430,marcosmaia.info,https://www.tiktok.com/@7272304374130279430/video/7299840650214657286,"A young male v-logger emotionally arguments for not relying solely on the cell phone when earning money online, he suggests to work two three months at CLT and buy a notebook. And for the ""Love of Jesus"" he strongly advices against buying any online course that will teach how you can earn money with a cell phone, proposing that this is a scam. He gives examples of several professions, such as day trader and TikToker, who can't rely solely on cell phone, as you can't analyse the financial graphs solely on a cell phone. The creator states that if he during his three years of business on internet relied solely on a cell phone - he would failed. At he end he claims that his audience will thank him for the advice about the notebook.",#GranaOnline #TrabalhoRemoto #GanharDinheiroNaInternet #NotebookVsCelular #EmpreendedorismoDigital #RendaExtra  #DigitalNomad #TrabalhoOnline #LiberteSeuPotencial #NegócioDigital #OportunidadeOnline #MarketingDigital #HomeOfficeLife #NotebookEssential #SideHustle #DinheiroExtra #LiberdadeFinanceira #CarreiraDigital #OnlineBusiness #HustleHard #GigEconomy #VidaDigital #TrabalharDeQualquerLugar #FuturoDigital #IndependênciaFinanceira #TrabalheEmCasa #SucessoDigital #DinheiroNoBolso #ExploreOOnline #EmpreendaNoDigital,Marcos Maia,som original,7264393247266147077,['POR ONDE COMEÇAR?'],DR-PSC,The format is specific for TikTok with captions and transcriptons,ET-PM,The creator's passionate delivery and emphasis on meaningful career advice reflects a deeper focus on purpose in digital work,ET-IC,"The narrative challenges the perception of digital entrepreneurship, advocating for a more professional identity built on proper tools and equipment",,,,,Worker,Safety,"While the content touches on basic needs (income) and self-actualization (professional success), the primary message centers on creating a stable and secure foundation for digital work. The creator's passionate warning against inadequate tools and potential scams clearly indicates a focus on the safety level of the hierarchy, specifically addressing job security and work environment stability."
2023-09-29,7284281935646461226,6935626086391579653,passportvisionz_,https://www.tiktok.com/@6935626086391579653/video/7284281935646461226,"The vlog captures an adventure through the city of Chongqing in China, highlighting a visit to a futuristic, multi-story hotel situated amidst the clouds and filming unique accommodation experiences available in Chongqing. The video provides a detailed tour of the hotel's amenities, design features, and panoramic views that encapsulate the city's skyline.",#chongqing #china #douyin_china #duoyin斗音 #duoying #chinatravel #travelchina #explorechina #chinavendor #vendorsinchina #cantonfairchina #passportvisionz #marinabay #marinabaysands #marinabaysandshotel #singapore #shanghaitips #beijing #hongkong #chinanews #digitalnomad,landen,original sound,6924310202087704577,['Chongqing \nChina \nCyberpunk \nThings to do in china \nChina travel \nBlack in China \nChina vs USA \nDigital nomad \nMove to China\nTeach in China '],DR-VS,"Destination promotion content particularly strong through the detailed hotel tour and panoramic cityscape views, effectively conveying the grandeur of both the accommodation and the urban landscape",CA-TC,"The commercial tourism element is prominent, further emphasized by the extensive use of travel-related hashtags.",HE-SA,"Sport Activities, skateboarding with neon lights  in the middle of the city.",JN-TE,The content primarily revolves around transformative travel experiences through the unique hotel experience in Chongqing's futuristic setting.,SY-SL,"Showcase of Chongqing's futuristic skyline and the multi-story hotel situated among the clouds, creating a powerful visual narrative of modern China",Tourist,Esteem,"It aligns with the Tourist category's esteem level, as it centers on distinctive experiences that set the traveler apart while offering cultural immersion through modern Chinese urban development. "
2023-08-21,7269725947560037639,7195260756174504987,austonholleman,https://www.tiktok.com/@7195260756174504987/video/7269725947560037639,"The video features an Afro-American vlogger discussing the Kenyan population, asserting their retention of cultural authenticity despite residing in a highly technological society. He emphasizes that, contrary to expectations, Kenyans have not become Americanized, highlighting the coexistence of technological advancement with the preservation of indigenous cultures and traditions. At the end he advice for women who want to date an african man, not to act like american women because ""a lo of us africn men do not want american women""",#digitalnomad #kenya #americans,Auston Holleman,original sound,7293236272028519198,['Kenyans Are Not Americanized'],DR-CA,"Showcases local experiences, with a risk of cultural appropriation or superficial representation.",CA-PC,Promotional Content: Includes sponsored material. Blurs lines between genuine content and advertising.,SY-RB,Ritualistic Behaviors: Depicts cultural rituals. Risk of exoticizing or misrepresenting cultural practices.,HE-CE,Cultural Experiences: Showcases local culture. Potential for cultural commodification.,,,Tourist,Esteem,"The content primarily focuses on cultural immersion and authentic understanding of Kenyan society, challenging stereotypes and promoting genuine appreciation of local culture while maintaining respect for cultural differences."
2024-01-06,7320830673466526981,7139851158186116122,indonesianwithlauren,https://www.tiktok.com/@7139851158186116122/video/7320830673466526981,"The female vlogger explains new slang, such as the Indonesian term ""bjir,"" sharing the origin and meaning of the word, which includes profanity or informal language. She offers cultural insights or linguistic nuances that enrich the understanding of the local context for DN living in or visiting Indonesia, bridging cultural gaps.",#indonesianlesson #indonesianteacher #bahasaindonesia #belajarbahasaindonesia #learnindonesian #learnbahasa #learnbahasaindonesia #language #languagelearning #languagecourse #education #bilingual #indonesiaexpat #expat #digitalnomad #bali #jakarta #indonesia #asia #southeastasia #indonesianculture #slang,Indonesian with Lauren,original sound - Indonesian with Lauren,7187093460854360838,,DR-CA,"The video's primary strength lies in its authentic presentation of Indonesian slang, providing genuine linguistic insights that reflect real cultural practices and local communication patterns",DR-PSC,The content demonstrates clear platform optimization through TikTok's educational format and strategic hashtag implementation,TA-DI,"The extensive use of targeted hashtags across multiple categories (language learning, location, digital nomad lifestyle) enhances the content's reach and searchability",JN-PG,The educational nature of the content supports personal development through cultural and linguistic competency building and contributes to cultural identity formation through language acquisition and understanding of local communication norms,,,Migrant,Esteem,"The content directly facilitates cultural understanding and adaptation through language learning, which is a key component of cultural immersion for tourists and digital nomads in Indonesia."
2023-10-01,7284784140812160261,6778243335167542277,bridgecrowley,https://www.tiktok.com/@6778243335167542277/video/7284784140812160261,"Female vlogger put on her flip-flops and steps out of her apartment, declaring her intention to fulfill her dream of not working by resigning from her job. This action signifies a deliberate shift towards a lifestyle that diverges from conventional employment, embodying her desire for freedom and autonomy over her time and choices.





",#fyp #followyourdreams #morepassion #digitalnomad #foryou #worklife,Austin Millz,Lovely Day Austin Millz Remix,7225628933474683674,['me on my way to quit my job and pursue my real passion:\nnot having a job'],DR-IE,Idealization of Experiences: Presents idealized version. Could create unrealistic expectations.,LC-PF,Personal & Spatial Freedom: Emphasizes freedom. Might ignore privileges that enable this lifestyle.,,,,,,,Pilgrim,Self-actualization,"The content centers on the pursuit of personal enlightenment and life transformation through the rejection of conventional work structures, emphasizing the spiritual and philosophical aspects of the digital nomad journey rather than practical considerations."
2023-10-08,7287555123910282528,7275769162860921889,van.tour,https://www.tiktok.com/@7275769162860921889/video/7287555123910282528,"A vlog presenting a travel van, detailing the comprehensive range of amenities contained within. This showcase likely covers the van's sleeping arrangements, kitchenette, storage solutions, and possibly innovative features like solar power systems or built-in technology for remote work, emphasizing the van's design to support a comfortable and self-sufficient mobile living experience. Through this tour, viewers can gain a thorough understanding of how the van is equipped to meet the needs of those seeking adventure while maintaining the conveniences of home.





",#vantour #vanlife #van #motorhome #digitalnomad,Favorite Movie Songs,Mission Impossible (Main Theme),7251860325203593218,['who wants \nthis one '],DR-PSC,Platform-Specific Content: Tailored for digital nomads. May perpetuate an idealized lifestyle.,CA-PC,The detailed tour format and use of specific hashtags like #vanlife and #digitalnomad suggests promotional intent for the van lifestyle,DR-VS,"The vlog format inherently relies on visual narrative to showcase the van's features and amenities, making this a primary code for the content",DR-IE,"The presentation of a fully equipped van with modern amenities and self-sufficient systems represents an idealized version of the mobile lifestyle.
",,,Worker,Basic,The van tour emphasizes the fundamental requirements for digital nomad life - a stable living space that provides essential amenities and the capability for maintaining reliable internet connection through built-in technology.
2023-07-19,7257656651149397294,6768173170131534854,digital_bromad,https://www.tiktok.com/@6768173170131534854/video/7257656651149397294,"A male vlogger claims that one can be a millionaire without actually earning much in Bali by using geoarbitrage, showing affordable options that allow living well internationally for a fraction of the cost in America. He suggests doing a regular 9-to-5 job remotely using a VPN or setting up a home IP address, claiming it is not illegal to work from anywhere. He aims to reach as many people as possible with his content and asks to share the video widely with friends and followers",#passportbros #passportbro #digitalbromad #digitalnomad,lofi'chield,City,7245400589675727643,"['Passport bros How much money  you need!?', '200,000 dong = ', '$8.50', '$42 = Millionare in 🇻🇳 ', '100,000 = $6.67', '$67 = Millionare in 🇮🇩 ', 'You dont need to make \na lot of money!!', '$600 a month \nFor nice place on Air bnb', 'Electricy, wifi, water\nIncluded ', 'Flexibility is key ', 'You can upgrade or downgrade whenever you want ', 'We have regular US jobs ', 'Common jobs:. Customer service. Sales. Digital marketing. Ux design. Data analytics. Data science. Web design ', 'Work from  “Home”', 'Wfh jobs that don’t let you work abroad ', 'What if they wont let me work abroad?', 'hypothetically 😉 ', 'Use a Vpn ', 'Final thing', 'I wish I knew this \nexisted sooner', 'Comment Help reach more people ']",DR-PSC,Platform-Specific Content: Tailored for digital nomads. May perpetuate an idealized lifestyle.,DR-IE,"The creator presents an overly optimistic view of the digital nomad lifestyle, emphasizing the ease of becoming a ""millionaire"" through geoarbitrage.",CA-PC,"The content is structured as promotional material, encouraging viewers to pursue remote work opportunities and sharing specific lifestyle costs.",ET-IC,"The content constructs the identity of a ""passport bro"" or ""digital bromad,"" presenting a specific lifestyle archetype.
 ",,,Worker,Basic,"The content's core message revolves around financial sustainability through geoarbitrage and maintaining remote work capabilities, which are fundamental worker needs for digital nomads."
2023-12-08,7310214809650269441,7130207819915674650,deedeeburmesevlog,https://www.tiktok.com/@7130207819915674650/video/7310214809650269441,"A video podcast features a Burmese individual discussing the digital nomad lifestyle and pathways to achieving it. Noteworthy is his incorporation of English terminology such as ""Digital Nomad,"" ""Remote Work,"" and ""Life Coach"" into his dialogue, suggesting a blend of local and global contexts. This presentation likely covers various aspects of adopting a nomadic lifestyle, from initial steps to fully embrace remote work to strategies for maintaining productivity and well-being on the road. By using specific English terms, the speaker bridges cultural and linguistic gaps, making the concept more accessible to a broader audience interested in exploring such a lifestyle while providing insights into the challenges and rewards of living and working remotely.",#deedeeburmesevlog #digitalnomad #fyptiktokmyanmar #incomeofdigitalnomad,DM Production,Epic Inspiration,7255333902133349121,[ပိုက်ဆံအရဆုံး Digital Nomad အလုပ်တစ်ခု],DR-PSC,"The content creator utilizes platform-specific formatting and bilingual communication strategies, particularly evident in the mixing of Burmese and English terminology.",JN-EP,"The content demonstrates episodic progress by breaking down the pathway to becoming a digital nomad, showing the step-by-step journey.
",TA-AC,Accessibility: Includes accessibility features. Might be tokenistic rather than truly inclusive.,TA-DI,The strategic use of hashtags in both English and Burmese demonstrates careful consideration of discoverability across different audience segments.,ET-IC,"The content strongly focuses on identity construction, particularly in how it presents the transformation into a digital nomad as part of personal development.",Worker,Esteem,"The content's focus on career growth and skill development, particularly evident in how it presents the digital nomad pathway as a means of professional advancement while incorporating global professional terminology into local context."
2023-08-04,7263272039950093573,6783496530643026945,rachmanmarangga,https://www.tiktok.com/@6783496530643026945/video/7263272039950093573,"Photo log of indonesian digital nomad working remotely since 2016 and traveling. Vlogger states that it has been a dynamic experience, that induced excitement, yet feeled with emerging emptiness. Initially, the anticipation of travel elicited considerable joy; however, over time, this individual has become accustomed to the nomadic routine. To counter these sentiments and redirect focus, the person has undertaken building project.This narrative underscores the psychological impacts and adaptational challenges associated with long-term digital nomadism.",#digitalnomad #remoteworking #kerjaremote #kelilingdunia #fypbima #doumbojo #indonesia #lifestyle #foryoupage,Kaka Restu,suara asli - Kaka Restu,7302744869569645355,['KERJA SAMBIL TRAVELING SEBAGAI DIGITAL NOMADEN 🧑\u200d💻🧑\u200d💻🧑\u200d💻'],ET-IC,"Identity construction emerges as the dominant code, evident in the vlogger's struggle with their digital nomad identity and the psychological impacts of long-term nomadic lifestyle",JN-PG,Personal grpowth is strongly present through the narrative of adaptation and the decision to undertake new projects as a response to emerging challenges.,DR-IE,The contrast between the anticipated joy of travel and the reality of nomadic life,ET-SD,"It manifests in the creator's reflection on their emotional journey, particularly the transition from initial excitement to routine.",,,Pilgrim,Self-actualization,"The content deeply explores personal transformation and the search for deeper meaning beyond the surface-level experiences of digital nomad life. The creator's journey from initial excitement to existential questioning, and their active pursuit of purpose through new projects, exemplifies the highest level of the pilgrim's hierarchy where enlightenment and life goals become central focuses."
